
C:\Users\fff\Documents\SportsMate>python Main.py


Are you sure you want to receive new ranking data? (y/n) n


--------------------------------------------------          National Basketball Association           --------------------------------------------------

79. [         UTEP Miners          ] vs [   Louisiana Tech Bulldogs    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

80. [   Arizona State Sun Devils   ] vs [      Washington Huskies      ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

81. [Eastern New Mexico Greyhounds ] vs [  Oklahoma Christian Eagles   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

82. [  Arkansas State Red Wolves   ] vs [         Troy Trojans         ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

83. [    Northwestern Wildcats     ] vs [     Michigan Wolverines      ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

84. [       Portland Pilots        ] vs [       Gonzaga Bulldogs       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.02) swap-False

85. [ Western New Mexico Mustangs  ] vs [  Arkansas Fort Smith Lions   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

86. [      Simon Fraser Clan       ] vs [ Central Washington Wildcats  ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

87. [   California Golden Bears    ] vs [     Oregon State Beavers     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.21) swap-False

88. [    Long Beach State Beach    ] vs [    Cal State Bakersfield     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

89. [  Western Washington Vikings  ] vs [Northwest Nazarene Nighthawks ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

90. [California Riverside Highlands] vs [     UC San Diego Tritons     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

91. [ Seattle University Redhawks  ] vs [       SFA Lumberjacks        ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

92. [      Cal St Northridge       ] vs [       UC Davis Aggies        ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

93. [  Cal State Fullerton Titans  ] vs [      Cal Poly Mustangs       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

94. [  Humboldt State Lumberjacks  ] vs [Cal State Los Angeles Golden Eagles] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

95. [    Western Oregon Wolves     ] vs [   Alaska Fairbanks Nanooks   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

96. [  San Francisco State Gators  ] vs [    Sonoma State Seawolves    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

97. [   Fresno Pacific Sunbirds    ] vs [     Hawaii Hilo Vulcans      ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

98. [ Cal State East Bay Pioneers  ] vs [ Cal State San Marcos Cougars ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

99. [   Cal State Chico Wildcats   ] vs [Cal State Dominguez Hills Toros] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

100. [   Cal Poly Pomona Broncos    ] vs [Cal State Monterey Bay Otters ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

101. [ Academy Of Art Urban Knights ] vs [    Dominican CA Penguins     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

102. [Cal State San Bernardino Coyotes] vs [  Stanislaus State Warriors   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

103. [      St Martins Saints       ] vs [  Alaska Anchorage Seawolves  ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

104. [    Azusa Pacific Cougars     ] vs [    Hawaii Pacific Sharks     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

